Frequency (Hz)	Channel 1 Magnitude (dB)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
2	-0.02693599720422919	13.74876688265854	-120.0614902596882
2.228536213418286	-0.01814053558122777	14.41734740542493	-122.6699866230218
2.483186827258355	-0.02122175030808437	15.08661315131521	-125.4204134553318
2.76693588461425	-0.02144198302050118	15.68394914434291	-128.3309305513185
3.083108409534712	-0.009390451195856613	16.23830997724424	-131.2820522994378
3.435409370271279	-0.01450372089299058	16.75739428451284	-134.2957834061682
3.827967094783026	-0.01677411715423982	17.22278403410721	-137.2809163104669
4.26538164724878	-0.01622315980709808	17.64076160725694	-140.3111442995599
4.752778732471811	-0.01476067264125194	17.99871030134592	-143.2678890208692
5.295869759838855	-0.02385274006730916	18.32532817027444	-146.1785715211744
5.901018770673841	-0.01127506858104241	18.58643816413812	-148.9268820711337
6.575317013253852	-0.02056923295147041	18.83998788552588	-151.5508573216155
7.326666039370784	-0.01282807886406275	19.02448841047424	-154.0722360789347
8.163870296179855	-0.003111866424572818	19.19698826128532	-156.495822573525
9.096740298343335	-0.008829649963929674	19.36604366216493	-158.5867481482921
10.1362075894598	-0.01304843082197702	19.47013884192827	-160.5482567999077
11.29445283991821	-0.007389993527326297	19.56481006248131	-162.5241471840593
12.58504858225136	-0.008771379792800281	19.63238137801612	-164.2755482989743
14.02311825658779	-0.009439924435661669	19.70132641810316	-165.8022372490177
15.62551342992649	-0.01122200256018674	19.75938497167959	-167.1742175097176
17.41101126592248	-0.007800516089788357	19.80933060524834	-168.4786600286922
19.400534559171	-0.001259310096096075	19.83448058681951	-169.7007176576988
21.61739691239276	-0.005455240274295616	19.88419285247405	-170.7750310371863
24.08757592955194	-0.007809377963330749	19.90595598409467	-171.7559488936222
26.84001762623458	-0.007086138138638503	19.92276432694583	-172.6539805368147
29.90697562442442	-0.009409534290638798	19.93728878261629	-173.4138118721807
33.32438910642387	0.0004088913037208818	19.94395676694749	-174.2214655993477
37.13230395685374	-0.01054994148914447	19.96373213728771	-174.9004133645493
41.37534202775182	-0.008012759960857572	19.97361577399238	-175.5202747395531
46.10322402570623	-0.02749841520799937	19.9600957834657	-175.910349754445
51.37135214831113	0.01501997605148538	20.00481978178346	-176.7928659882917
57.24145929738734	-0.01456513065033587	19.97226956513843	-177.1660655140932
63.78233247656824	-0.009423003084238523	19.98914249215301	-177.5431053023189
71.07061885015875	-0.01472943629924055	19.99631133563348	-177.966660893718
79.19172390881347	-0.001698611288869637	19.99570411269998	-178.3753877371257
88.24081226690664	-0.01158394024443256	20.00807731291987	-178.7808677851943
98.32392281912306	-0.008546952731644372	19.99241308800374	-179.1395315570659
109.5592113238801	0.01045630390236072	19.99723477866534	-179.5262727688707
122.0783349744067	-0.007267390945900654	20.00537024603344	-179.8724949401531
136.0279951821367	-0.0168470182942005	20.00209633828511	179.770677912883
151.5716566510399	-0.02009732045675106	20.0020042450885	179.4686274533449
168.8914628873223	-0.01168811138575581	20.01166153366437	179.1006636595116
188.190370590794	-0.005854133429270834	20.00651338003772	178.653430475846
209.694527939096	-0.004558066190103614	20.00224557114458	178.2678975528918
233.6559246339638	-0.005729437209124973	19.99837393596313	177.8856369771422
260.3553447632613	-0.008396244001533167	20.00143313754389	177.4766857744208
290.1056570809652	-0.01011508688158153	19.99945403750217	176.996870035469
323.2554812612188	-0.002436794244108264	19.98776037851755	176.4263833532188
360.193273088291	-0.01190469272540694	19.98913593618528	175.8539020304509
401.3518764534596	-0.008675570915679698	19.9793844030474	175.348731262558
447.213595499958	-0.01636839303508876	19.97726434483032	174.669979899881
498.3158463523266	-0.01009481093118608	19.96459610732461	174.0220292033362
555.2574546581714	0.0117501776649303	19.92902102441442	173.1509604099924
618.7056727380982	0.003903613773617374	19.91992026613335	172.3477812161154
689.4039985720869	-0.001278635425329748	19.90445519922199	171.4178796084411
768.1808882466319	-0.008813508498080956	19.89058914740489	170.4179203596147
855.9594639567227	-0.01060935785612116	19.86013253923898	169.2616479736769
953.7683313228289	0.001791503080539212	19.80704517873478	167.9964068202242
1062.753632782227	-0.001472643075743035	19.76638227726726	166.6832059397944
1184.192478298515	-0.01000268098859791	19.71347938486966	165.1717350533039
1319.507910772894	0.0002346635906617202	19.63568000876178	163.4870786339635
1470.285581524649	-0.01313209882417356	19.56612123718531	161.7522736931971
1638.292331247222	-0.001667692511651809	19.4537990505457	159.679036316978
1825.49689417495	-0.003305520740549837	19.33073898962794	157.6305590178906
2034.092968075742	-0.01542848772044529	19.19863509012139	155.2824404133754
2266.524920408137	-0.01558323824170941	19.01400502974408	152.8363148283179
2525.516431872267	0.000217965013921609	18.79360767500893	150.3156752158016
2814.10241300514	-0.01722919434309909	18.55745520021112	147.4612403479735
3135.664567824868	0.002460741707049046	18.25220296655089	144.476669671765
3493.971021265154	0.005488215761155055	17.90959697501679	141.5225616792588
3893.220474761732	0.003423862748935403	17.52757286919547	138.3924178319674
4338.091407414026	0.02631341563064604	17.08098046222902	135.3684397510374
4833.796899270426	0.01284083013623039	16.60840610829855	132.2797815715355
5386.145719166585	0.01987206930981745	16.0742496037347	129.088739599605
6001.610392955303	-0.01010635429973172	15.50439191803065	126.0819150973521
6687.403049764222	0.0185805023219446	14.8521798515778	123.0679149529981
7451.559935061729	0.0130796051665665	14.18075809617338	120.2379617000049
8303.035580870934	0.02287790592693293	13.46760102746652	117.3545202363924
9251.807736635705	0.005918150611617921	12.71317821652834	114.8353424470773
10308.99429033806	0.01641950949234027	11.95428216381652	112.4626302452615
11486.98354997036	0.04645241691269972	11.12695168828826	110.2095681643339
12799.57941202454	0.04190613808337951	10.29441011582239	108.0625689175286
14262.16311810989	0.03051591636180418	9.45773562926586	106.2717422537232
15891.87349519327	0.03655170445087871	8.59299442605252	104.4688844351488
17707.80779155021	0.07838656177405404	7.692162702848639	102.6985116292278
19731.24546186006	0.03466248899646521	6.828555166119989	101.4294697510568
21985.89752380017	0.0508075036302261	5.939032612419872	99.83302605757119
24498.18440814605	0.06430217718606694	5.012294958449738	98.53014859613306
27297.54555827635	0.04406118294583653	4.133684774789862	97.48053166907474
30416.78440702716	0.0593633383709062	3.184581945443298	96.12538189540017
33892.45277339833	0.08552298041996878	2.307271618922233	94.93342215784894
37765.27918354359	0.01982860465020775	1.393933972608068	94.49428782368683
42080.64613518932	0.09273046133191445	0.3667415900801269	93.55255036683339
46889.12189815481	0.1166743904745881	-0.5252122436035781	92.25469378362746
52247.0530827111	0.1167329334899145	-1.424658682267697	91.45721629449696
58217.22491960459	0.1247225567789562	-2.45121915521077	90.58208136273728
64869.59698902813	0.1764014470882802	-3.322945140338501	89.64314215431807
72282.12301994949	0.1448160859921139	-4.186607673547718	88.39141263531309
80541.66436635646	0.05478282097666917	-4.957455855397048	87.90141769915698
89745.00786470325	0.1085225419607882	-6.03349986499304	87.14091167141558
100000	0.04302980347126249	-6.643222340597593	84.62870695082222
