Frequency (Hz)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
2	13.76355352462579	-119.8095168089695
2.149594104666034	14.23870895466804	-121.5670205386241
2.310377407407478	14.67061333127343	-123.3907216033254
2.483186827258355	15.11093492634912	-125.2593891757013
2.668921882329455	15.52757939144734	-127.1798027924828
2.868549372034785	15.9072506963786	-129.1969998291426
3.083108409534712	16.26793241216884	-131.1310721302562
3.313715830591037	16.61927266736151	-133.215328176364
3.561572006988501	16.94092856553462	-135.2171510986109
3.827967094783026	17.24012158584246	-137.3150241043277
4.114287749900569	17.53409576396872	-139.2733568468271
4.422024346042972	17.80000807534118	-141.2418371023136
4.752778732471811	18.02384667139565	-143.2340617584063
5.108272572051754	18.24541536983044	-145.2328412859527
5.490356302954821	18.4396146306369	-147.0841333185194
5.901018770673841	18.61590920014742	-148.920774789632
6.342397580482046	18.77344310246254	-150.6787874539441
6.816790224226144	18.91832822392412	-152.3285237131084
7.326666039370784	19.05633549473827	-154.0733485911356
7.874679062544136	19.16200702713418	-155.7080791881044
8.463681844490942	19.25874919575663	-157.1482717058119
9.096740298343335	19.35120048681998	-158.5233332370987
9.777149658498381	19.43539379144407	-160.0047163862434
10.50845163317281	19.50950219969767	-161.3178143379634
11.29445283991821	19.56046013963848	-162.543599724317
12.13924462005835	19.62005205193501	-163.6910414609643
13.04722433518814	19.66872685431404	-164.7715643159345
14.02311825658779	19.72494122052025	-165.9130263190841
15.07200616669787	19.77302244958618	-166.72226992863
16.19934780071192	19.78381184932882	-167.5960931470804
17.41101126592248	19.81195066777439	-168.4403991929024
18.71330358675043	19.83645015098695	-169.2938203386179
20.11300353445223	19.85648908767253	-170.0371615271984
21.61739691239276	19.87711824718909	-170.7581659581579
23.23431448055259	19.90151862887228	-171.4599013323665
24.97217271667624	19.9069213983333	-172.0326307989119
26.84001762623458	19.92854224252075	-172.6529904530634
28.84757182924313	19.93714828777336	-173.2120950835112
31.00528516903549	19.9532160742815	-173.7491648805081
33.32438910642387	19.94956304502376	-174.1985927663377
35.81695518238283	19.96311167620153	-174.6869263783993
38.49595785356883	19.97378440222581	-175.1002538813889
41.37534202775182	19.97370336160685	-175.4829100451321
44.47009565069794	19.95662739828118	-175.9527978216603
47.79632772233744	20.03511962960501	-176.2642636464718
51.37135214831113	20.01428079566436	-176.3603524585905
55.21377786336613	20.02937911720924	-176.7882624606187
59.34360569571588	20.01103794208223	-177.2913254865214
63.78233247656824	19.98971121772207	-177.6125022504041
68.55306293673983	19.99783872039521	-177.8372771191564
73.68062997280768	19.99521518535484	-178.1358388749829
79.19172390881347	20.00498754557765	-178.3118939606053
85.11503142636272	19.99167007494286	-178.6737659500235
91.48138488628663	20.00597285712315	-179.0393534407864
98.32392281912306	20.0131806528266	-179.2199488520335
105.6782624198125	19.99671158568293	-179.3687028128983
113.5826849444892	20.02096775222379	-179.6632635308122
122.0783349744067	20.00697890588778	-179.868513495407
131.2094345842149	20.01279827141214	179.8619090453381
141.0235135293958	20.01950430507044	179.554494707865
151.5716566510399	19.99891392661736	179.4994576437244
162.9087697857698	20.00090682723141	179.2413736844414
175.093865564943	20.00874809431992	178.9978209568953
188.190370590794	20.0151251521037	178.662554615735
202.2664555884436	20.01383446956552	178.4174227486482
217.395390252306	20.01034304508746	178.166183711686
233.6559246339638	20.00662700082825	177.910093338792
251.1326990567298	20.00851634490383	177.5833653070314
269.9166846906078	20.00866074740323	177.3385310278133
290.1056570809652	19.99788161814622	176.9810398215295
311.8047050957543	19.9952922325694	176.6374434668403
335.1267779404822	19.99843836420712	176.2373305129406
360.193273088291	19.99670596514091	175.8818077431949
387.1346681854764	19.99125579340069	175.5134059424241
416.0912002216705	19.98615336299779	175.0870099992521
447.213595499958	19.9698998625706	174.6531662988919
480.6638542066049	19.96745564358906	174.2329033489571
516.6160936642852	19.95845702931679	173.7293189565901
555.2574546581714	19.95551703115934	173.2007639214429
596.7890755525351	19.94386151664821	172.6569380856174
641.4271392684105	19.93398988261164	172.0725177840584
689.4039985720869	19.91872642869013	171.4028249285209
